"","Id","Elevation","Aspect","Slope","Hillshade_9am","Hillshade_Noon","Hillshade_3pm","Cover_Type","wild","soil","h_fire","h_water","h_road","v_water"
"28",28,2962,148,16,240,236,120,"2","1","29",3395,323,5916,23
"29",29,2811,135,1,220,238,154,"2","1","12",5643,212,3670,30
"30",30,2739,117,24,253,210,71,"5","1","30",6033,127,3281,53
"31",31,2703,122,30,254,201,52,"5","1","30",6123,67,3191,27
"32",32,2522,105,7,233,231,130,"5","1","18",5569,120,595,1
"33",33,2519,102,6,230,233,137,"5","1","18",5559,124,616,4
"34",34,2516,23,6,216,227,147,"5","1","18",5541,150,658,4
"35",35,2515,41,9,221,220,133,"5","1","18",5532,162,680,4
"36",36,2900,45,19,221,195,100,"2","1","29",4115,242,5199,20
"37",37,2709,125,28,253,207,61,"5","1","30",6094,67,3224,23
"38",38,2511,92,7,231,229,131,"5","1","18",5494,182,722,18
"39",39,2749,98,30,252,183,36,"5","1","30",6005,124,3316,53
"40",40,2686,354,12,200,219,157,"5","1","30",6155,0,3167,0
"41",41,2699,347,3,213,234,159,"1","1","20",6853,0,2096,0
"42",42,2570,346,2,215,235,158,"2","1","29",5745,0,331,0
"43",43,2533,71,9,230,223,126,"5","1","18",5552,150,577,-3
"44",44,2703,330,27,146,197,184,"5","1","16",6186,30,3141,17
"45",45,2678,128,5,229,236,141,"2","1","12",6546,95,1660,23
"46",46,2529,68,8,228,225,130,"5","1","18",5484,210,666,-5
"47",47,2524,94,7,232,229,130,"5","1","18",5474,212,684,-4
"48",48,2536,99,6,230,232,136,"5","1","18",5475,234,659,0
"49",49,2498,66,6,227,227,135,"5","1","18",5357,95,900,7
"50",50,2489,100,7,232,231,131,"5","1","18",5334,85,810,13
"51",51,2713,117,30,254,198,48,"5","1","30",6039,60,3297,17
"52",52,2739,323,25,149,205,192,"1","1","29",6219,85,3118,43
"53",53,2696,72,2,222,234,149,"1","1","30",6071,30,3271,0
"54",54,2510,79,14,237,215,106,"5","1","18",5325,192,891,19
"55",55,2502,81,7,230,227,129,"5","1","18",5316,175,912,11
"56",56,2722,315,24,148,212,200,"1","1","16",6132,30,3216,19
"57",57,2500,74,11,233,219,116,"5","1","18",5279,190,930,9
"58",58,2486,68,5,225,230,139,"5","1","18",5262,180,870,-4
"59",59,2489,11,4,216,232,153,"5","1","18",5254,175,840,13
"60",60,2489,42,6,221,227,141,"5","1","18",5247,162,810,13
"61",61,2490,75,5,227,230,137,"5","1","18",5218,134,810,17
"62",62,2952,107,11,239,226,116,"2","1","29",3509,42,5845,7
"63",63,2705,90,8,232,228,129,"2","1","12",6615,134,2023,22
"64",64,2507,40,7,221,224,138,"5","1","18",5221,153,930,10
"65",65,2500,49,14,225,210,116,"5","1","18",5205,150,870,27
"66",66,2493,63,10,229,221,124,"5","1","18",5197,127,840,20
"67",67,2509,59,7,226,226,134,"5","1","18",5184,134,900,10
"68",68,2919,13,13,207,214,142,"1","1","29",4060,90,5321,6
"69",69,2740,54,6,224,227,138,"2","1","12",6686,218,2287,42
"70",70,2640,80,8,231,225,127,"2","1","29",5866,180,1092,-2
"71",71,2843,166,12,230,244,144,"2","1","30",4956,242,4434,53
"72",72,3008,45,14,223,208,116,"2","1","29",3036,277,6371,10
"73",73,2893,114,16,245,223,102,"2","1","29",4340,108,5066,30
"74",74,2850,6,9,210,223,151,"2","1","16",4548,0,4858,0
"75",75,2628,30,10,217,218,136,"2","1","29",5645,240,960,19
"76",76,2864,118,18,248,221,93,"2","1","30",4849,201,4567,74
"77",77,2827,160,28,235,233,108,"2","1","30",5474,134,3948,65
"78",78,2529,326,5,207,234,166,"2","1","16",5047,30,1062,14
"79",79,2808,99,7,233,230,130,"1","1","12",6341,382,3107,95
"80",80,2840,153,26,241,231,102,"2","1","30",4833,134,4613,42
"81",81,2795,79,10,233,223,121,"1","1","20",6497,531,2980,96
"82",82,2746,143,16,241,235,119,"2","1","12",6597,67,2440,22
"83",83,2847,352,26,166,187,152,"1","1","29",5796,150,3697,82
"84",84,2840,14,14,206,210,140,"1","1","12",5944,216,3552,88
"85",85,2537,42,7,222,224,137,"2","1","18",4919,210,1132,17
"86",86,2860,358,17,191,206,151,"1","1","29",5800,175,3705,98
"87",87,2818,332,26,151,197,181,"2","1","29",4978,30,4526,17
"88",88,2801,18,7,215,226,148,"2","1","12",6457,560,3084,58
"89",89,2791,63,10,229,221,124,"2","1","12",6606,418,2942,48
"90",90,2745,306,11,190,234,184,"2","1","29",6428,67,2416,24
"91",91,2514,102,6,230,233,137,"2","1","18",4811,272,1082,-5
"92",92,2788,13,16,203,206,137,"2","1","29",5396,30,4126,8
"93",93,2562,354,12,200,218,156,"2","1","30",5031,67,1057,9
"94",94,3073,173,12,227,246,149,"2","1","29",2735,108,6836,-3
"95",95,2978,71,10,231,221,121,"2","1","29",3792,426,5742,85
"96",96,2860,31,10,218,218,135,"1","1","12",5904,295,3644,98
"97",97,3067,164,11,230,243,144,"2","1","29",2774,85,6811,7
"98",98,2804,72,5,225,231,141,"2","1","12",6471,543,3115,61
"99",99,2562,59,3,221,233,148,"2","1","16",5091,0,1116,0
"100",100,2567,34,9,219,221,138,"2","1","18",4924,190,1136,16
"101",101,2998,45,8,223,222,134,"2","1","29",3721,351,5842,16
"102",102,2684,84,12,237,220,113,"2","1","29",5693,150,1677,2
"103",103,2676,42,11,222,216,128,"2","1","29",5655,150,1634,-5
"104",104,2863,102,15,244,219,100,"1","1","29",5184,190,4389,71
"105",105,2574,170,5,224,242,153,"2","1","18",4910,170,1180,23
"106",106,2511,211,6,216,245,166,"2","1","18",4660,162,1071,30
"107",107,3067,32,4,219,230,147,"2","1","20",2947,30,6679,-2
"108",108,2909,57,16,229,203,102,"2","1","29",4084,134,5502,23
"109",109,2863,348,14,193,216,161,"1","1","29",5695,309,3918,89
"110",110,2567,333,1,216,237,158,"2","1","16",5079,0,1266,0
"111",111,3182,105,11,240,226,115,"1","1","29",1184,408,6000,33
"112",112,2818,324,12,189,227,177,"1","1","16",5467,242,4156,26
"113",113,2752,332,6,207,233,165,"2","1","12",6131,342,2372,24
"114",114,2751,88,5,228,231,137,"2","1","12",6088,400,2322,30
"115",115,2569,102,7,232,231,132,"2","1","18",4844,228,1266,18
"116",116,3195,111,15,245,222,101,"1","1","29",1206,469,5941,46
"117",117,2982,53,14,227,209,112,"2","1","29",3880,240,5756,63
"118",118,2850,58,6,225,227,137,"1","1","29",5239,295,4394,58
"119",119,2586,76,4,225,232,143,"2","1","18",4875,190,1290,30
"120",120,2837,17,13,208,211,138,"1","1","29",5428,330,4241,45
"121",121,2723,99,6,230,232,136,"2","1","12",5793,301,2109,34
"122",122,3070,0,11,204,220,153,"2","1","29",2858,30,6890,-6
"123",123,3057,124,12,240,231,118,"2","1","29",3211,150,6508,53
"124",124,2818,119,19,248,220,92,"2","1","29",4497,30,5213,10
"125",125,2847,320,33,120,190,199,"2","1","29",4727,85,4983,39
"126",126,2606,112,11,239,228,119,"2","1","16",5106,30,1584,4
"127",127,2893,83,6,229,230,135,"2","1","12",5755,551,4011,101
"128",128,2716,1,10,206,222,153,"2","1","12",5581,234,2100,27
"129",129,2644,125,20,249,221,90,"2","1","29",5168,67,1719,25
"130",130,2613,37,5,220,229,146,"2","1","12",4818,216,1519,34
"131",131,2929,356,12,201,219,155,"2","1","24",4017,0,5757,0
"132",132,2767,307,12,187,233,186,"2","1","29",6192,30,2796,8
"133",133,2991,49,13,225,211,117,"1","1","24",3613,85,6199,0
"134",134,2939,56,18,229,200,98,"2","1","24",4224,95,5563,20
"135",135,2537,7,12,205,216,148,"2","1","16",4509,0,1583,0
"136",136,3119,119,7,233,234,133,"2","1","29",2556,162,6660,10
"137",137,2942,346,12,197,221,162,"1","1","24",3900,30,5918,3
"138",138,2886,12,7,213,226,150,"1","1","29",5518,570,4295,94
"139",139,2775,344,13,194,219,164,"2","1","29",6177,42,2854,7
"140",140,2490,79,9,232,224,124,"2","1","18",4184,240,878,13
"141",141,3106,228,18,191,254,196,"1","1","29",1655,658,5984,108
"142",142,2831,284,24,145,232,222,"2","1","24",4611,60,5208,23
"143",143,2837,112,8,235,231,128,"2","1","12",6221,272,3649,16
"144",144,2890,299,23,150,224,212,"2","1","24",4734,180,5104,79
"145",145,2824,135,5,227,238,144,"2","1","20",6316,218,3583,6
"146",146,2728,135,3,224,238,150,"2","1","12",5515,242,2250,32
"147",147,2962,88,16,242,212,95,"1","1","24",3811,190,6095,23
"148",148,3142,220,11,207,251,179,"2","1","29",1989,424,6216,69
"149",149,2847,2,6,212,229,154,"2","1","20",6194,175,3757,10
"150",150,2536,34,5,219,228,146,"2","1","18",4201,242,1242,16
"151",151,3168,95,6,229,231,136,"1","1","29",1239,30,4884,0
"152",152,2926,289,24,145,228,220,"1","1","24",4814,210,5126,99
"153",153,2893,21,6,216,227,148,"2","1","12",5865,295,4106,36
"154",154,2687,20,11,212,217,140,"2","1","12",4936,150,1986,39
"155",155,3109,211,17,204,254,181,"2","1","29",2017,424,6089,55
"156",156,3119,200,20,208,253,172,"2","1","29",2377,60,6297,0
"157",157,2916,349,10,202,223,160,"1","1","29",5502,488,4472,36
"158",158,2795,18,3,217,233,153,"2","1","12",6073,218,3042,17
"159",159,2555,58,14,230,209,109,"2","1","18",4159,285,1231,19
"160",160,2499,42,13,222,212,123,"2","1","18",3950,497,953,-7
"161",161,3027,173,11,227,245,149,"1","1","29",1900,335,5678,42
"162",162,3096,160,15,234,242,135,"1","1","29",2310,85,6156,16
"163",163,2916,105,13,242,223,108,"2","1","29",4417,268,5618,89
"164",164,2591,42,12,222,213,125,"2","1","29",4224,350,1398,22
"165",165,3185,328,16,178,219,180,"1","1","29",1392,127,4763,13
"166",166,3021,221,10,208,250,177,"1","1","29",1937,324,5675,39
"167",167,3083,257,4,209,242,171,"2","1","29",2873,510,6363,-25
"168",168,2860,276,33,115,226,240,"2","1","24",4759,60,5292,33
"169",169,3008,196,15,215,251,166,"2","1","23",1924,228,5535,20
"170",170,3034,189,14,220,250,160,"1","1","29",2012,384,5754,66
"171",171,2873,130,16,244,230,110,"2","1","30",6091,67,4030,16
"172",172,3182,49,13,225,211,118,"1","1","29",1513,319,4767,7
"173",173,2998,102,12,239,225,114,"2","1","29",4121,384,6026,158
"174",174,2658,357,20,184,199,149,"2","1","29",4286,300,1597,54
"175",175,3175,15,7,214,226,149,"1","1","29",1584,366,4816,92
"176",176,2952,8,7,212,227,152,"1","1","20",5192,488,4953,125
"177",177,2622,95,12,239,222,112,"2","1","29",4086,484,1329,39
"178",178,2955,288,21,156,233,215,"2","1","24",4968,247,5224,128
"179",179,2837,66,9,229,221,124,"2","1","20",6341,201,3655,23
"180",180,3182,45,3,220,232,149,"1","1","29",1661,458,4723,109
"181",181,3077,129,3,225,237,147,"2","1","29",3261,618,6296,43
"182",182,2755,320,4,209,236,165,"2","1","12",5468,30,2890,-1
"183",183,3047,28,11,216,215,134,"1","1","29",3540,600,6414,13
"184",184,2880,86,12,237,221,113,"2","1","30",5906,30,4369,3
"185",185,3221,292,3,212,238,165,"1","1","29",1710,424,4401,49
"186",186,3182,115,10,237,231,124,"1","1","29",1768,553,4605,10
"187",187,3064,29,24,204,182,104,"1","1","29",2148,150,5051,46
"188",188,2827,332,15,185,221,174,"2","1","29",6067,42,3599,9
"189",189,2518,107,5,229,234,139,"2","1","18",3522,360,553,39
"190",190,3050,180,4,221,242,156,"1","1","29",2721,277,5782,-3
"191",191,3107,356,12,201,219,155,"1","1","29",2069,283,4855,89
"192",192,2995,173,15,228,246,146,"2","1","30",4135,268,6312,135
"193",193,2721,164,4,224,241,152,"2","1","12",4191,67,1747,-2
"194",194,3182,116,7,233,233,133,"1","1","29",1854,579,4425,10
"195",195,2724,132,11,238,234,124,"2","1","12",4875,60,2720,-2
"196",196,2515,90,9,233,227,125,"2","1","18",3451,313,511,39
"197",197,3017,46,22,221,188,92,"1","1","29",2352,212,5118,52
"198",198,3077,256,4,210,242,170,"2","1","29",3734,618,6230,210
"199",199,2929,338,8,202,228,165,"2","1","12",6106,190,4393,39
"200",200,2735,127,12,240,232,120,"2","1","12",4924,67,2806,6
"201",201,2893,319,20,164,217,192,"2","1","24",4667,150,5825,43
"202",202,3231,45,4,221,231,147,"1","1","29",1921,648,4173,59
"203",203,2560,89,10,235,224,120,"2","1","29",3505,218,731,34
"204",204,3162,43,15,221,205,115,"1","1","29",2188,484,4657,144
"205",205,2982,188,14,220,250,160,"1","1","29",2750,120,5501,-2
"206",206,2731,66,5,225,230,141,"2","1","20",4873,0,2826,0
"207",207,3172,50,11,225,215,123,"1","1","20",2037,759,4287,0
"208",208,2916,138,21,247,227,98,"2","1","29",4206,127,6349,49
"209",209,2890,63,17,233,202,96,"2","1","30",5757,153,3670,35
"210",210,2704,45,10,223,219,130,"2","1","12",3734,323,1323,22
"211",211,3198,23,18,207,200,124,"1","1","29",2285,604,4545,180
"212",212,2985,214,5,215,245,166,"2","1","29",3195,342,5495,63
"213",213,3011,323,21,164,214,188,"2","1","24",4910,443,5838,161
"214",214,3024,312,18,169,224,194,"2","1","24",4961,474,5785,177
"215",215,2763,7,12,205,216,148,"2","1","24",4788,85,2850,17
"216",216,3244,56,16,229,204,104,"1","1","40",2225,618,3865,76
"217",217,2955,9,10,209,221,149,"1","1","16",2819,85,5167,10
"218",218,3201,10,13,205,213,143,"1","1","23",2289,984,4136,180
"219",219,2972,36,25,209,176,90,"1","1","29",2816,30,5113,0
"220",220,2985,167,13,230,244,144,"2","1","29",3519,458,5571,66
"221",221,2539,23,17,207,201,125,"2","1","29",3115,90,488,15
"222",222,3001,260,8,200,245,183,"2","1","29",3903,720,5790,134
"223",223,2952,51,10,225,218,126,"1","1","16",2960,150,5123,16
"224",224,2962,211,13,209,252,177,"2","1","29",3337,255,5365,43
"225",225,3004,0,12,202,217,152,"1","1","12",5840,484,5068,85
"226",226,2727,45,4,221,231,147,"2","1","12",4245,124,2285,21
"227",227,3004,167,17,232,244,137,"2","1","29",4031,603,5798,137
"228",228,2886,22,8,215,222,144,"2","1","29",5557,285,3849,31
"229",229,3024,344,8,203,227,163,"1","1","12",5764,600,5201,105
"230",230,3034,187,14,221,249,158,"2","1","30",4921,335,6084,148
"231",231,2903,279,13,184,241,197,"2","1","29",5904,190,4179,26
"232",232,2926,245,4,212,243,169,"1","1","23",3331,30,5180,7
"233",233,2942,200,16,212,252,170,"2","1","29",3470,180,5276,23
"234",234,2991,54,13,227,211,115,"2","1","12",6214,495,4849,65
"235",235,2742,116,9,236,231,126,"2","1","12",4314,150,2475,21
"236",236,2606,356,18,188,205,152,"2","1","29",3174,67,911,26
"237",237,3244,326,5,207,234,166,"1","1","23",2460,750,3730,53
"238",238,3237,27,14,213,210,130,"1","1","23",2506,997,4002,36
"239",239,2616,359,24,176,187,142,"2","1","29",3186,42,977,15
"240",240,2913,16,11,211,217,142,"2","1","29",5568,457,3974,58
"241",241,2813,48,7,223,225,137,"2","1","24",4729,201,3018,35
"242",242,2530,149,1,221,238,154,"2","1","29",2726,319,234,51
"243",243,3260,45,7,222,225,138,"1","1","40",2531,503,3558,69
"244",244,3047,90,3,224,234,146,"2","1","12",5635,870,5484,128
"245",245,2955,60,20,231,195,88,"1","1","29",3248,201,4934,33
"246",246,2893,77,13,236,215,107,"2","1","29",4682,85,6012,7
"247",247,2965,38,24,212,181,92,"1","1","29",3315,247,4883,49
"248",248,3037,230,15,196,252,191,"2","1","29",5238,570,5985,151
"249",249,3027,152,10,233,240,138,"2","1","12",5912,792,5316,108
"250",250,2756,70,16,235,208,100,"2","1","12",4210,120,2501,35
"251",251,2939,325,6,206,234,167,"2","1","20",5584,510,4078,62
"252",252,3198,126,9,235,234,130,"1","1","19",2858,418,4200,23
"253",253,3195,90,7,231,229,132,"1","1","23",2880,362,4243,20
"254",254,2975,222,6,213,245,169,"2","1","29",4519,360,5719,89
"255",255,2890,84,13,238,218,108,"2","1","30",4761,30,5918,4
"256",256,3018,109,10,238,229,121,"2","1","29",5486,815,5833,132
"257",257,3011,85,5,228,231,137,"2","1","12",5975,842,5389,85
"258",258,3221,79,16,239,210,96,"1","1","23",2868,618,3968,20
"259",259,3004,135,7,231,237,138,"2","1","29",6017,811,5383,78
"260",260,2572,49,20,224,192,94,"2","1","29",2509,384,391,53
"261",261,3260,128,11,238,233,124,"1","1","23",2854,743,3824,46
"262",262,3168,25,4,218,231,150,"1","1","20",3180,30,4426,0
"263",263,2878,349,12,198,220,161,"2","1","29",4924,67,3489,0
"264",264,3198,9,8,211,224,150,"1","1","19",3076,301,4099,23
"265",265,2975,260,8,200,245,183,"2","1","29",5262,391,6071,66
"266",266,3178,38,10,220,217,131,"1","1","29",3248,0,4286,0
"267",267,2995,176,10,226,246,152,"2","1","29",5533,690,6068,86
"268",268,2913,144,8,232,239,139,"2","1","30",4733,210,5478,20
"269",269,2982,175,9,225,245,153,"1","1","12",6500,424,5267,56
"270",270,2945,209,12,211,251,173,"2","1","29",5354,362,5877,36
"271",271,2995,143,2,223,238,151,"1","1","29",6349,631,5459,23
"272",272,2942,0,3,215,233,156,"2","1","20",6062,0,4830,0
"273",273,2945,288,5,205,239,173,"2","1","20",6034,0,4801,0
"274",274,2959,288,8,199,240,180,"2","1","12",5920,120,4683,14
"275",275,2796,114,13,242,226,111,"2","1","12",3934,60,2599,8
"276",276,2785,315,2,214,237,161,"2","1","23",3829,60,2486,-2
"277",277,2784,325,17,177,220,182,"2","1","30",3198,153,1798,33
"278",278,2789,320,15,181,225,183,"2","1","30",3174,182,1771,50
"279",279,2922,162,19,235,241,129,"2","1","30",4536,240,5076,22
"280",280,3008,135,3,224,238,150,"2","1","29",6096,931,5727,36
"281",281,2978,73,10,232,221,121,"2","1","29",6368,323,5160,49
"282",282,2892,54,11,226,217,123,"2","1","12",4457,134,3178,12
"283",283,2521,45,10,223,218,129,"2","1","20",2066,42,408,2
"284",284,2985,72,7,228,227,133,"1","1","29",6482,497,5372,13
"285",285,3057,39,19,217,196,107,"1","1","29",3955,626,4435,144
"286",286,2829,78,9,232,223,123,"2","1","23",4187,60,2941,8
"287",287,3201,331,5,208,234,164,"1","1","20",3460,0,4002,0
"288",288,3136,329,13,187,223,175,"1","1","29",3798,789,4228,-13
"289",289,2548,355,14,197,215,155,"2","1","20",2058,60,551,7
"290",290,2962,89,9,234,225,122,"2","1","12",6046,42,4891,3
"291",291,2808,15,13,208,213,141,"2","1","12",3651,201,2431,20
"292",292,2749,87,12,238,220,111,"2","1","12",2797,516,1499,43
"293",293,3155,328,14,185,222,177,"1","1","29",3871,849,4184,-19
"294",294,2991,285,11,189,240,191,"2","1","20",6068,849,5939,98
"295",295,2968,108,5,229,234,138,"2","1","12",5265,306,4113,49
"296",296,2932,77,13,236,216,108,"2","1","30",5067,108,3911,21
"297",297,2808,356,7,209,227,157,"2","1","23",3757,153,2592,3
"298",298,2794,106,4,227,234,142,"1","1","12",3079,210,1888,37
"299",299,3080,24,17,208,201,125,"1","1","29",4176,659,4377,167
"300",300,2936,52,16,227,203,105,"1","1","23",4456,180,4656,27
"301",301,2913,261,10,197,245,187,"2","1","29",5517,313,5706,10
"302",302,2919,232,8,207,248,178,"2","1","29",5539,323,5728,19
"303",303,2978,257,6,205,244,177,"2","1","12",5905,85,4795,13
"304",304,2574,312,14,183,229,187,"2","1","30",1924,134,636,32
"305",305,3142,59,21,231,192,85,"1","1","29",4070,730,4155,-32
"306",306,2804,15,10,211,219,144,"1","1","12",3031,212,1917,47
"307",307,2595,9,14,204,212,144,"2","1","30",2010,42,799,19
"308",308,2929,232,8,208,247,177,"2","1","29",5776,366,5835,33
"309",309,3001,246,9,201,247,184,"2","1","29",6227,764,5961,101
"310",310,2813,94,7,231,230,132,"2","1","30",2872,371,1800,56
"311",311,2988,342,6,208,231,162,"2","1","12",5836,192,4805,26
"312",312,3175,59,18,231,200,96,"1","1","23",4184,612,4042,0
"313",313,2861,0,6,211,228,155,"2","1","30",3972,134,2980,10
"314",314,2804,61,7,226,225,133,"2","1","30",2825,362,1838,10
"315",315,3001,78,10,234,221,118,"1","1","12",6310,335,5320,29
"316",316,2914,141,9,234,238,135,"2","1","12",4430,277,3471,18
"317",317,2668,41,17,219,200,110,"2","1","30",2240,283,1276,68
"318",318,3185,129,12,240,233,121,"1","1","29",4273,481,3899,10
"319",319,2913,216,9,211,249,173,"1","1","16",5983,268,5715,20
"320",320,3168,72,5,226,230,138,"1","1","23",4394,418,3855,-6
"321",321,2955,30,9,218,220,137,"2","1","20",5370,30,4478,3
"322",322,2932,100,7,232,231,131,"2","1","19",5166,30,4280,-6
"323",323,3234,0,11,204,220,153,"1","1","23",4109,658,3589,26
"324",324,3201,53,7,224,225,135,"1","1","29",4255,488,3667,26
"325",325,2903,236,5,211,244,171,"1","1","16",6046,212,5656,10
"326",326,2874,352,2,216,236,157,"2","1","29",3653,400,2869,19
"327",327,2903,254,6,206,244,176,"1","1","16",6195,212,5689,3
"328",328,2800,45,12,223,214,124,"1","1","20",2958,0,2244,0
"329",329,3257,336,9,199,227,167,"1","1","23",4246,693,3443,52
"330",330,3188,278,5,206,241,173,"1","1","29",4526,210,3634,13
"331",331,2952,62,8,227,223,130,"2","1","29",5251,192,4487,30
"332",332,2932,237,16,189,252,198,"1","1","29",6409,342,5797,36
"333",333,3050,281,4,209,240,169,"2","1","12",6162,630,5540,85
"334",334,2955,285,11,188,240,192,"2","1","29",5057,212,4302,19
"335",335,2791,41,17,220,201,111,"2","1","12",2294,458,1740,-18
"336",336,3172,162,3,222,240,153,"1","1","29",4624,180,3632,7
"337",337,3116,69,14,234,212,107,"1","1","29",4802,297,3870,-6
"338",338,2895,51,10,225,219,127,"2","1","12",4002,162,3326,0
"339",339,3182,122,6,230,235,138,"1","1","29",4585,134,3510,7
"340",340,3024,81,9,233,224,123,"2","1","29",5114,218,4152,49
"341",341,2962,251,9,201,246,183,"2","1","29",6356,480,5863,66
"342",342,2978,27,4,218,230,149,"2","1","12",5502,192,4780,13
"343",343,2952,40,12,221,213,124,"2","1","12",5268,323,4558,0
"344",344,2945,348,13,194,217,161,"2","1","12",4425,255,3768,32
"345",345,3149,188,7,221,245,159,"1","1","29",4831,134,3718,17
"346",346,2833,150,15,238,238,126,"1","1","30",2407,242,1953,23
"347",347,3136,185,10,222,248,158,"1","1","29",4858,42,3623,4
"348",348,2851,49,13,225,211,118,"2","1","29",3037,268,2538,46
"349",349,2933,111,8,234,231,129,"2","1","12",4221,300,3644,20
"350",350,2810,110,6,230,234,138,"1","1","12",2178,421,1871,0
"351",351,3267,85,10,235,223,119,"1","1","40",4518,484,3194,62
"352",352,3188,30,16,213,203,121,"1","1","29",4753,85,3340,13
"353",353,2955,37,5,220,229,145,"2","1","12",4475,426,3905,42
"354",354,3001,276,9,197,242,184,"2","1","29",6012,752,5893,103
"355",355,3008,281,10,194,241,187,"2","1","29",5998,780,5864,110
"356",356,2942,28,5,218,230,148,"2","1","12",4228,391,3707,29
"357",357,2921,331,9,200,230,169,"2","1","12",4024,395,3516,8
"358",358,2985,315,5,206,235,169,"2","1","12",5570,361,5023,20
"359",359,2978,289,14,179,238,198,"2","1","12",5007,570,4480,42
"360",360,2889,51,20,225,193,94,"2","1","29",3049,362,2689,66
"361",361,2814,103,3,225,235,145,"2","1","12",2316,210,2145,4
"362",362,2938,127,9,236,234,128,"2","1","12",3239,408,2896,107
"363",363,2828,95,11,238,224,116,"2","1","29",2714,127,2467,15
"364",364,3146,95,12,239,222,112,"1","1","30",5052,240,3287,-28
"365",365,2977,94,8,232,229,129,"2","1","12",4676,466,4283,12
"366",366,3034,45,2,220,234,151,"2","1","12",5490,680,5544,46
"367",367,3083,61,19,232,197,90,"1","1","30",5380,192,3320,-9
"368",368,3044,23,5,217,228,148,"1","1","20",5476,210,3481,-25
"369",369,2982,90,8,232,228,129,"1","1","20",5609,242,3695,-35
"370",370,2901,176,15,226,247,149,"2","1","30",3360,256,3181,49
"371",371,2995,66,6,227,227,135,"2","1","29",5126,247,4770,13
"372",372,2528,151,6,228,240,145,"2","1","23",390,108,598,4
"373",373,3188,112,8,235,231,128,"1","1","29",5166,60,2880,3
"374",374,2939,243,24,164,250,217,"2","1","29",5753,400,5619,41
"375",375,3008,215,11,209,251,176,"2","1","29",5600,696,5880,112
"376",376,3021,238,9,204,248,181,"2","1","29",5543,815,5855,125
"377",377,2937,80,11,234,221,118,"2","1","12",4354,330,4094,15
"378",378,2844,317,10,194,231,178,"2","1","29",2724,67,2758,20
"379",379,2781,13,3,216,233,154,"2","1","29",1707,351,2148,25
"380",380,2945,252,18,176,249,209,"2","1","29",5686,421,5615,47
"381",381,2857,143,12,238,237,127,"2","1","30",3161,85,3111,8
"382",382,3021,53,7,224,224,134,"1","1","29",5720,258,3544,-12
"383",383,2919,141,3,225,238,149,"1","1","29",6047,192,3992,3
"384",384,2800,185,9,222,246,158,"2","1","12",2001,170,2382,22
"385",385,2773,151,18,240,237,119,"5","1","30",983,350,1680,119
"386",386,2759,144,17,242,234,115,"5","1","30",895,300,1590,105
"387",387,2714,117,20,250,217,85,"5","1","30",779,242,1470,93
"388",388,2671,109,26,253,200,58,"5","1","30",664,175,1350,55
"389",389,2975,126,9,235,234,130,"2","1","29",4928,120,4763,3
"390",390,2775,148,19,242,234,113,"5","1","30",1061,335,1770,101
"391",391,2746,149,18,240,236,119,"5","1","30",912,268,1620,92
"392",392,2743,148,19,242,235,114,"5","1","30",883,255,1590,89
"393",393,2717,108,16,246,220,98,"5","1","30",794,201,1500,79
"394",394,2751,136,14,241,234,119,"5","1","30",967,277,1680,77
"395",395,2739,131,14,242,232,116,"5","1","30",908,242,1620,75
"396",396,2733,133,16,244,231,111,"5","1","30",878,228,1590,79
